,SOREN_0.75,SOREN_0.5,JAC_0.75,JAC_0.5,BUNCH
cassandra-2.2.3,0.471186441,0.779069767,0.605135659,0.656007752,0.86124
cassandra-2.2.4,0.470843373,0.773975904,0.483855422,0.658795181,0.84516
cassandra-2.2.5,0.348116357,0.774916547,0.587982833,0.661421078,0.84122
cassandra-2.2.6,0.348261077,0.774654597,0.559313959,0.661743687,0.83451
cassandra-2.2.7,0.335551331,0.775665399,0.620722433,0.662547529,0.79814
cassandra-2.2.8,0.360531309,0.776565465,0.623339658,0.663187856,0.8124
cassandra-2.2.9,0.350852273,0.776988636,0.502367424,0.664299242,0.75612
cassandra-2.2.10,0.350852273,0.776988636,0.502367424,0.664299242,0.74561
cassandra-2.2.11,0.352996697,0.777253421,0.505899009,0.665408211,0.75294
cassandra-2.2.12,0.357512953,0.777202073,0.471031559,0.665567593,0.62353
checkstyle-7.0,0.282994924,0.718274112,0.282994924,0.699238579,0.72359
checkstyle-7.1,0.283903676,0.718631179,0.283903676,0.697084918,0.75412
checkstyle-7.2,0.283935243,0.712328767,0.282689913,0.689912827,0.71242
checkstyle-7.3,0.275,0.685,0.315,0.651666667,0.678873
checkstyle-7.4,0.276206323,0.685524126,0.316139767,0.650582363,0.712431
checkstyle-7.5,0.291873964,0.683250415,0.781094527,0.646766169,0.675453
checkstyle-7.6,0.289735099,0.683774834,0.30794702,0.647350993,0.69873
checkstyle-7.7,0.295886076,0.670886076,0.311708861,0.632911392,0.71242
checkstyle-7.8,0.291731669,0.67550702,0.288611544,0.63650546,0.67843
checkstyle-8.0,0.288819876,0.675465839,0.313664596,0.638198758,0.67767
jmeter-2.8,0.167657551,0.793103448,0.252080856,0.692033294,0.67284
jmeter-2.9,0.165105386,0.795081967,0.223653396,0.697892272,0.72332
jmeter-2.10,0.163104612,0.800899888,0.226096738,0.691788526,0.71278
jmeter-2.11,0.162192394,0.803131991,0.229306488,0.689038031,0.75442
jmeter-2.12,0.161683278,0.795127353,0.224806202,0.696566999,0.64336
jmeter-2.13,0.162817552,0.787528868,0.222863741,0.689376443,0.65586
jmeter-3.0,0.227362205,0.765748031,0.288385827,0.677165354,0.76422
jmeter-3.1,0.219417476,0.761165049,0.57184466,0.678640777,0.6772
jmeter-3.2,0.445610687,0.764312977,0.282442748,0.690839695,0.75321
jmeter-3.3,0.228598307,0.763875823,0.278457197,0.691439323,0.76434
log4j2-log4j-2.0,0.937413074,0.863699583,0.934631433,0.76077886,0.78812
log4j2-log4j-2.1,0.934447301,0.849614396,0.931876607,0.754498715,0.81224
log4j2-log4j-2.2,0.937579618,0.856050955,0.935031847,0.76433121,0.832453
log4j2-log4j-2.3,0.936548223,0.855329949,0.934010152,0.763959391,0.712451
log4j2-log4j-2.4,0.940987124,0.858369099,0.938841202,0.760729614,0.87322
log4j2-log4j-2.5,0.944388271,0.858442872,0.944388271,0.759352882,0.78896
log4j2-log4j-2.6,0.950971323,0.872340426,0.949121184,0.777983349,0.77632
log4j2-log4j-2.7,0.948760331,0.869421488,0.945454545,0.768595041,0.67886
log4j2-log4j-2.8,0.953234606,0.872174591,0.950116913,0.769290725,0.773211
log4j2-log4j-2.9,0.947407964,0.861758077,0.944402705,0.767092412,0.712231
RxJava-2.1.0,0.091297384,0.92258409,0.097170315,0.853710625,0.85122
RxJava-2.1.1,0.091248666,0.9226254,0.097118463,0.853788687,0.88124
RxJava-2.1.2,0.0976,0.922133333,0.098133333,0.869333333,0.8744
RxJava-2.1.3,0.0976,0.922133333,0.098133333,0.869333333,0.85123
RxJava-2.1.4,0.095846645,0.92172524,0.091586794,0.870074547,0.78856
RxJava-2.1.5,0.091392136,0.921891605,0.091392136,0.870350691,0.73562
RxJava-2.1.6,0.088983051,0.925847458,0.088983051,0.873940678,0.81136
RxJava-2.1.7,0.092348285,0.926121372,0.092348285,0.874406332,0.85332
RxJava-2.1.8,0.094963274,0.92864638,0.094963274,0.874081847,0.89789
RxJava-2.1.9,0.094963274,0.929695698,0.09706191,0.874606506,0.83452
